docket_number,date_argued,justice,sentiment_score_afinn,sentiment_score_sentimentr,questions,interruptions,words_spoken,top_word,unigrams,most_positive_sentence,most_negative_sentence,caseName,petitioner_wins,justice_in_majority,voted_for_petitioner
17-1268,2020-02-24T00:00:00Z,CHIEF JUSTICE ROBERTS,-1,0.16494760817426,2,1,89,canon,ross landgraf landgraf sort substantive interpretive canon based constitutional concern apply involving foreign sovereign substantive canon interpretive canon congress impose liability retroactively foreign basis curran,"Thank you, counsel.","And if it's not such a substantive canon, it would have to be an interpretive canon that Congress generally doesn't want to impose liability retroactively on a foreign state.",OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE BREYER,,,,,,,,,,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE ALITO,-1.91666666666667,-0.106836150012095,8,0,220,damages,involving private private defendant sovereign nation constitutional limits congress's ability punitive damages retroactive apply landgraf test wrong congress punitive damages retroactive expressly magic words requirement retroactivity punitive damages law congress country incorrigible sponsor terrorism punish country constitutional barrier congress simply expropriating assets country reach united landgraf applies claim defendant foreign defendant private party idea foreign sponsor terrorism liable compensatory damages worth hit punitive damages stop thinking u.s government,"In a case involving private -- a private defendant, rather than a sovereign nation, are there constitutional limits on Congress's ability to make punitive damages retroactive?",Government?,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE SOTOMAYOR,-1.33333333333333,0.21502316788485,4,2,204,altmann,ross process break direct colleague landgraf altmann issue plain language statute landgraf lens altmann lens congress punitive damages apply retroactively agree proposition clarify answer assuming altmann altmann presumption involving foreign sovereigns landgraf presumption applies private rights actions foreign sovereigns adversary takes tact private rights retroactivity questions immunity,Yes.,So I wasn't sure.,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE KAGAN,-8,0.135879665992816,4,2,155,damages,mcgill rest apply retroactively sense statutory scheme 1605 7 person compensatory damages damages added creation action punitive damages guess reason punitives separate rest retroactive guess created understanding answer created action circumstances action putting punitive damages law claims brought,"Well, I guess -- I mean, it definitely created -- maybe I'm not -- not understanding the answer.","It definitely created a cause of action, but in what circumstances is that cause of action different, putting aside punitive damages, than the state law claims that would have been brought?",OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1268,2020-02-24T00:00:00Z,JUSTICE KAVANAUGH,,,,,,,,,,OPATI v. REPUBLIC OF SUDAN,TRUE,,
17-1268,2020-02-24T00:00:00Z,JUSTICE GINSBURG,-3,0.302988440833938,1,0,35,damages,sudan issue term solatium item damages,Is Sudan --,Where does that come from?,OPATI v. REPUBLIC OF SUDAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,CHIEF JUSTICE ROBERTS,,0.581753813911005,0,0,16,michel,michel palmore,"Thank you, counsel.",Mr. Michel.,ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
